id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses,taxonomy_ids
c89eb05c-62dd-4b64-b494-0cc347b6ea7f,1899600a-649c-11e6-8b77-86f30ca893d3,,Never Homeless Helpline,,"The Never Homeless Helpline refers any persons without access to housing to services within Example City. Services are first come, first serve. Due to demand, there may be a waiting list.",,neverhomeless@example.com,active,over the phone,Call for further information,,,,,
25870bcf-7528-4e05-8f0c-7e639075ce71,18996320-649c-11e6-8b77-86f30ca893d3,,Yound Minds,,"Young Minds program helps young people complete their high school education, preparing them for lifelong success with mentorship, funding and community support. Our engagement with the students begins with an evaluation to provide each young person with a personalised program for success.",,,active,,,,,,,
10cbc6ce-0ae5-467f-8069-18e90ec5b037,1899673a-649c-11e6-8b77-86f30ca893d3,,Grocery Tax Break Donation,,"A service to collect and report on in-date food from grocery stores within Example City limits, allowing stores to benefit from city-funded tax breaks as well as helping to feed those in need.",,,active,,,,,,,
a27a0710-72d2-41a2-8947-9d0e0e69e257,1899673a-649c-11e6-8b77-86f30ca893d3,,Food Safety Program,,A pay-as-you-feel training program for nonprofit organisations perparing or seeking to prepare food within Example City.,,,inactive,,,,,,,
c28f4d9f-10b2-4baf-a727-a31ae79063ce,1899683e-649c-11e6-8b77-86f30ca893d3,,Al-Anon Family Group,,Provides support for family and friends of people with a drinking problem.,,,active,video remote,,,,,,
373c9b87-8606-49c7-8082-02120ddc04e4,1899691a-649c-11e6-8b77-86f30ca893d3,,Shop Assist,,Provides assisted social shopping for the elderly with twice weekly bus services and assistance provided by volunteers. This service is heavily subscribed and waiting period may apply.,,,active,,Call our offices to apply or for more information,28 days,,,,
2fcd70db-add2-43b5-ba3b-98f82c3c3147,189969f6-649c-11e6-8b77-86f30ca893d3,,Example City Summer Camp,,"Carnival Bay provides summer camp sessions for residents of Example City. Summer camp activities include: arts & crafts, field trips, indoor activities, outdoor games, free swim lessons, and swimming.",,,active,,,,,,,
25f6e86d-ba99-4819-b6f4-2f23dbe38806,18996ac8-649c-11e6-8b77-86f30ca893d3,,Dear Teacher Skills Refresh,,"The skills refresh offers teaching staff in Example City free refresher courses in <ul>
  <li>Digital Skills</li>
  <li>Childhood Development</li>
  <li>Languages: Spanish</li>
</ul>",,,inactive,,,,,,,
9619ea6e-baa8-4b9a-9665-ca2a07cdd7b6,18996b9a-649c-11e6-8b77-86f30ca893d3,,Parks Disability Services,,"Parks Disability Service works to make Example City parks and their recreation programs accessible to persons with disabilities, removing architectural barriers and creating special programs for the disabled, such as wheelchair tennis, quad rugby, and beep baseball.",,,active,,,,,,,
756b5a9d-7d65-4063-b5f2-d08ccf01c55e,18996c62-649c-11e6-8b77-86f30ca893d3,,The City's Kitchen,,"The Soup Kitchen operates seven days a week, 365 days a year. It serves two hot meals per day.",,,active,,,,,,,
62e95523-07b9-4d1b-9bcf-6cea6e2be5d8,18997068-649c-11e6-8b77-86f30ca893d3,,Meals To-Go at The Cross,,"Meals To-Go at The Cross provides a bag lunch on a pay-as-you-can basis. Donors can buy a healthy bag lunch and donate a bag lunch to anyone in need of a meal. For a pre-paid meal, please take a prepaid slip from our ""Feed the City"" wall.",,,active,,,,,,,
008b6436-5ac2-4c19-ac4d-d640fbec7818,18997068-649c-11e6-8b77-86f30ca893d3,,Wash & Go at The Cross,,"Provides dignity for our homeless citizens with a free, clean place to shower and take care of personal needs. Stalls are lockable for privacy and safety. A caretaker is available at all times.This service is supported by matched donations from City Hall.",,,inactive,,,,,,,
21a1192b-abb9-45e8-bc52-c81ca4087240,18997068-649c-11e6-8b77-86f30ca893d3,,Bubbles at The Cross,,Bubbles At The Cross provides low-cost and pay-as-you-can services to anyone needing laundry services in Example City. ,,,active,,,,,,,
