table_name,name,type,description,constraints_unique,constraints_required,constraints_tablular_required,format,one_to_many,one_to_one,enum
organization,id,string,The identifier for the organization. Each organization must have a unique identifier.,true,true,false,uuid,,,
organization,name,string,The official or public name of the organization.,false,true,false,,,,
organization,alternate_name,string,An (optional) alternative or commonly used name for the organization.,false,false,false,,,,
organization,description,string,A free text description containing a brief summary about the organization. It can contain markup such as HTML or Markdown.,false,true,false,,,,
organization,email,string,The contact e-mail address for the organization.,false,false,false,email,,,
organization,website,string,The URL (website address) of the organization.,false,false,false,uri,,,
organization,additional_websites,array,The details of additional websites for the organization.,,false,false,,url.json,,
organization,tax_status,string,DEPRECATED: Government assigned tax designation for tax-exempt organizations.,false,false,false,,,,
organization,tax_id,string,DEPRECATED: A government issued identifier used for the purpose of tax administration.,false,false,false,,,,
organization,year_incorporated,number,The year in which the organization was legally formed.,false,false,false,,,,
organization,legal_status,string,The legal conditions that an organization is operating under.,false,false,false,,,,
organization,logo,string,A URL to an image associated with the organization which can be presented alongside its name.,false,false,false,,,,
organization,uri,string,A persistent identifier to uniquely identify the organization such as those provided by Open Corporates or some other relevant URI provider. This is not for listing the website of the organization: that can be done through the website field of the Organization.,false,false,false,uri,,,
organization,parent_organization_id,string,The identifier of the organization's parent organization.,false,false,false,uuid,,,
organization,funding,array,The sources of funding for a service or organization.,,false,false,,funding.json,,
organization,contacts,array,The details of the named contacts for services and organizations.,,false,false,,contact.json,,
organization,phones,array,"The details of the telephone numbers are used to contact organizations, services, and locations.",,false,false,,phone.json,,
organization,locations,array,"The details of the locations where organizations operate. Locations may be virtual, and one organization may have many locations.",,false,false,,location.json,,
organization,programs,array,The details of collection of related services.,,false,false,,program.json,,
organization,organization_identifiers,array,"The details of the third party identifiers for organizations, such as: company registration number, charity number, tax registration number.",,false,false,,organization_identifier.json,,
organization,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
organization,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
program,id,string,The identifier for the program. Each program must have a unique identifier.,true,true,false,uuid,,,
program,organization_id,string,"The identifier for the organization which the program belongs to. Each program must belong to a single organization, and the identifier for that organization should be given here.",true,false,true,uuid,,,
program,name,string,The name of the program.,false,true,false,,,,
program,alternate_name,string,The (optional) alternative name for the program.,false,false,false,,,,
program,description,string,A free text description of the program,false,true,false,,,,
program,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
program,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
service,id,string,The identifier for the service. Each service must have a unique identifier.,true,true,false,uuid,,,
service,organization_id,string,The identifier of the organization that provides this service.,false,false,true,uuid,,,
service,program_id,string,The identifier of the program this service is delivered under.,false,false,false,uuid,,,
service,name,string,The official or public name of the service.,false,true,false,,,,
service,alternate_name,string,An (optional) alternative name for this service.,false,false,false,,,,
service,description,string,A free text description of the service.,false,false,false,,,,
service,url,string,URL of the service,false,false,false,uri,,,
service,additional_urls,array,The details of additional URLs for the service,,false,false,,url.json,,
service,email,string,An email address which can be used to contact the service provider.,false,false,false,email,,,
